facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
1,Bibb Correctional Facility,AL,0,Bibb Correctional Facility,565 Bibb Lane,,"Brent, AL 35034",35034,Bibb Correctional Facility,565 Bibb Lane,,"Brent, AL 35034",35034,https://www.prisonpro.com/content/bibb-correctional-facility
2,Bullock Correctional Facility,AL,0,Bullock Correctional Facility,P.O. Box 5107,,"Union Springs, AL 36089-5107",36089,Bullock Correctional Facility,P.O. Box 5107,,"Union Springs, AL 36089-5107",36089,https://www.prisonpro.com/content/bullock-correctional-facility
3,Donaldson Correctional Facility,AL,0,Donaldson Correctional Facility,100 Warrior Lane,,"Bessemer, AL 35023-7299",35023,Donaldson Correctional Facility,100 Warrior Lane,,"Bessemer, AL 35023-7299",35023,https://www.prisonpro.com/content/donaldson-correctional-facility
4,Draper Correctional Facility,AL,0,Draper Correctional Facility,P.O. Box 1107,,"Elmore, AL 36025",36025,Draper Correctional Facility,P.O. Box 1107,,"Elmore, AL 36025",36025,https://www.prisonpro.com/content/draper-correctional-facility
5,Easterling Correctional Facility,AL,0,Easterling Correctional Facility,200 Wallace Drive,,"Clio, AL 36017-2615",36017,Easterling Correctional Facility,200 Wallace Drive,,"Clio, AL 36017-2615",36017,https://www.prisonpro.com/content/easterling-correctional-institution
6,Elmore Correctional Center,AL,0,Elmore Correctional Center,3520 Marion Spillway Road,,"Elmore, AL 36025",36025,Elmore Correctional Center,3520 Marion Spillway Road,,"Elmore, AL 36025",36025,https://www.prisonpro.com/content/elmore-correctional-center
7,Fountain Correctional Facility,AL,0,Fountain Correctional Facility,Fountain 3800,,"Atmore, AL 36503-3800",36503,Fountain Correctional Facility,Fountain 3800,,"Atmore, AL 36503-3800",36503,https://www.prisonpro.com/content/fountain-correctional-facility-jo-davis
8,Hamilton Aged & Infirmed,AL,0,Hamilton Aged & Infirmed,223 Sasser Drive,,"Hamilton, AL 35570",35570,Hamilton Aged & Infirmed,223 Sasser Drive,,"Hamilton, AL 35570",35570,https://www.prisonpro.com/content/hamilton-aged-infirmed
9,Holman Correctional Facility,AL,0,Holman Correctional Facility,Holman 3700,,"Atmore, AL 36503-3700",36503,Holman Correctional Facility,Holman 3700,,"Atmore, AL 36503-3700",36503,https://www.prisonpro.com/content/holman-correctional-facility
10,Kilby Correctional Facility,AL,0,Kilby Correctional Facility,P.O. Box 150,,"Mt. Meigs, AL 36057",36057,Kilby Correctional Facility,P.O. Box 150,,"Mt. Meigs, AL 36057",36057,https://www.prisonpro.com/content/kilby-correctional-facility
